channel,digital,x,y,z
R,88,4.706441,2.590037,0.438457
B,232,18.542582,6.588834,95.440769
R,232,38.896138,21.025572,2.430605
G,232,32.146514,72.07995,13.992081
B,72,1.507087,0.578055,7.514378
R,72,3.08334,1.693536,0.383594
G,72,2.560335,5.70406,1.27816
B,104,3.260638,1.197827,16.5491
R,104,6.772657,3.700963,0.586725
G,104,5.595686,12.62192,2.589314
R,112,7.979764,4.339091,0.63739
G,112,6.580134,14.811067,3.002269
B,112,3.807789,1.386237,19.443569
G,160,14.278194,32.144036,6.32625
R,160,17.437216,9.442934,1.176955
B,160,8.339313,2.928377,42.89376
R,192,25.723707,13.919349,1.650254
B,192,12.276807,4.357075,63.124273
G,192,21.214785,47.59483,9.323955
G,208,25.286109,56.654133,11.042528
R,208,30.559668,16.546665,1.934472
B,208,14.579399,5.180203,75.093603
G,200,23.200036,51.996099,10.13618
B,200,13.396657,4.755163,68.95179
R,200,28.087855,15.204408,1.808672
G,32,0.508545,1.02676,0.39507
R,32,0.592395,0.364771,0.246449
B,32,0.321595,0.174462,1.426533
G,136,10.004911,22.635128,4.501201
R,136,12.208691,6.616197,0.888827
B,136,5.827541,2.065491,29.838723
R,8,0.114593,0.100745,0.220197
G,8,0.099987,0.134051,0.195947
B,8,0.100128,0.092716,0.274021
B,64,1.174127,0.473024,5.839294
G,64,2.00544,4.424096,1.036814
R,64,2.39084,1.331351,0.330319
B,40,0.475617,0.224462,2.198656
R,40,0.918625,0.538725,0.24121
G,40,0.765098,1.631463,0.502834
G,128,8.792867,19.842316,3.951832
R,128,10.673464,5.789169,0.803262
B,128,5.101365,1.833345,26.121215
B,152,7.444138,2.629415,38.232372
G,152,12.782275,28.828079,5.660756
R,152,15.596754,8.458426,1.069115
B,120,4.438282,1.590541,22.637157
R,120,9.26028,5.038663,0.711177
G,120,7.640515,17.236928,3.457507
R,248,45.142734,24.387231,2.78003
B,248,21.505795,7.627308,110.787357
G,248,37.287615,83.669884,16.208591
B,184,11.205384,3.97791,57.664876
G,184,19.366044,43.422199,8.522667
R,184,23.487473,12.71804,1.524887
R,56,1.810672,1.004843,0.309595
B,56,0.897616,0.375205,4.372274
G,56,1.515536,3.326272,0.823422
G,176,17.570465,39.428547,7.750113
B,176,10.208769,3.617563,52.439073
R,176,21.349738,11.560616,1.393636
B,136,5.821583,2.069558,29.879074
R,136,12.206028,6.626349,0.862873
G,136,10.020721,22.630571,4.499853
B,216,15.848032,5.6373,81.561413
G,216,27.508578,61.56712,11.960737
R,216,33.206166,17.957784,2.10254
B,72,1.499784,0.594708,7.502253
G,72,2.564316,5.696342,1.277592
R,72,3.08334,1.693536,0.383594
R,24,0.337684,0.237315,0.234671
B,24,0.220041,0.139392,0.863042
G,24,0.309794,0.594535,0.302211
R,160,17.444405,9.452596,1.190004
G,160,14.267024,32.142092,6.313769
B,160,8.351142,2.931538,42.89298
G,32,0.520374,1.029921,0.39429
B,32,0.322254,0.175679,1.413272
R,32,0.589073,0.373706,0.233756
B,152,7.43818,2.633482,38.272723
R,152,15.611246,8.451435,1.094289
G,152,12.777749,28.808265,5.673661
B,40,0.482806,0.234124,2.211705
G,40,0.788097,1.636568,0.514535
R,40,0.906137,0.534347,0.255251
R,176,21.353719,11.552898,1.393068
G,176,17.570465,39.428547,7.750113
B,176,10.187115,3.599872,52.479848
R,232,38.9041,21.010136,2.429469
B,232,18.538628,6.581532,95.520335
G,232,32.158229,72.109426,13.992225
B,120,4.444812,1.598986,22.663467
R,120,9.272109,5.041824,0.710397
G,120,7.644496,17.22921,3.456939
B,192,12.27483,4.353424,63.164056
R,192,25.751232,13.944268,1.64905
G,192,21.238329,47.627467,9.323319
B,168,9.239559,3.274685,47.529906
R,168,19.360367,10.475884,1.280259
G,168,15.885647,35.679875,7.030763
B,48,0.665638,0.292732,3.19402
R,48,1.313079,0.753092,0.285259
G,48,1.101907,2.386217,0.649541
B,80,1.861554,0.708347,9.387529
G,80,3.196031,7.161607,1.546112
R,80,3.838079,2.115221,0.44751
B,96,2.750172,1.013884,13.943609
R,96,5.711365,3.119364,0.527056
G,96,4.723659,10.601242,2.200269
B,240,19.994646,7.102031,103.036553
G,240,34.692531,77.768411,15.085223
R,240,41.981084,22.672637,2.626909
B,128,5.101365,1.833345,26.121215
R,128,10.685293,5.79233,0.802482
G,128,8.77783,19.821775,3.938995
G,8,0.121668,0.136722,0.23417
R,8,0.106631,0.116181,0.221333
B,8,0.111957,0.095877,0.273241
B,0,0.102764,0.097584,0.220977
G,0,0.091594,0.09564,0.208496
R,0,0.083746,0.084761,0.208708
R,184,23.523619,12.72874,1.509286
G,184,19.382513,43.418859,8.508058
B,184,11.213918,3.974986,57.730401
G,88,3.92702,8.789746,1.865844
R,88,4.720933,2.583046,0.463631
B,88,2.284212,0.860307,11.547886
B,248,21.514988,7.625601,110.839621
R,248,45.192713,24.389723,2.802864
G,248,37.303311,83.691642,16.208167
G,112,6.570968,14.797754,3.029003
R,112,7.967276,4.334713,0.651431
B,112,3.806471,1.383803,19.470091
B,104,3.255339,1.203111,16.57619
G,104,5.596459,12.596822,2.575129
R,104,6.784486,3.704124,0.585945
G,224,29.773383,66.722284,12.963708
R,224,35.997706,19.45053,2.275789
B,224,17.177607,6.102678,88.4623
R,64,2.40201,1.333295,0.3428
B,64,1.173468,0.471807,5.852555
G,64,2.006099,4.425313,1.023553
G,16,0.187432,0.293764,0.247939
R,16,0.209111,0.152348,0.214881
B,16,0.141426,0.105702,0.470172
B,56,0.896957,0.373988,4.385535
R,56,1.819179,1.016939,0.296122
G,56,1.527365,3.329433,0.822642
G,208,25.304354,56.692054,11.068982
B,208,14.593804,5.184507,75.198699
R,208,30.607643,16.560526,1.918091
G,255,39.713591,89.126367,17.276187
B,255,22.890414,8.108759,118.002752
R,255,48.113485,25.968653,2.982642
R,200,28.123342,15.213891,1.806332
G,200,23.229451,52.035964,10.175115
B,200,13.411721,4.760684,69.043625
R,144,13.857454,7.507651,0.981345
B,144,6.6132,2.344819,33.937756
G,144,11.360654,25.66624,5.074556
