channel,digital,x,y,z
R,56,1.748978,0.972875,0.286617
G,56,1.458393,3.155011,0.795256
R,16,0.200604,0.140252,0.228354
G,16,0.159793,0.29516,0.250067
B,16,0.142085,0.106919,0.456911
R,0,0.095575,0.087922,0.207928
B,0,0.092253,0.096857,0.195235
G,0,0.087727,0.077043,0.20814
G,128,8.438296,18.929361,3.853973
B,128,5.086643,1.748879,26.026608
R,128,10.208264,5.503206,0.762045
R,112,7.587973,4.114572,0.619295
G,112,6.310776,14.121824,2.919035
B,112,3.821937,1.314104,19.400234
B,136,5.808179,1.987526,29.757945
G,136,9.632437,21.605307,4.374116
R,136,11.632504,6.281971,0.867535
R,240,39.93291,21.493155,2.51466
B,240,19.700976,6.733181,101.375843
G,240,33.260375,73.673793,14.679427
R,8,0.124445,0.100255,0.2592
B,8,0.112616,0.097094,0.25998
G,8,0.125649,0.129004,0.233602
R,192,24.60218,13.266881,1.619159
B,192,12.208069,4.163788,62.778123
G,192,20.405849,45.419407,9.097079
R,80,3.681867,2.03165,0.429848
G,80,3.09237,6.793497,1.514598
B,80,1.862414,0.671954,9.293422
B,208,14.482624,4.95321,74.523076
R,208,29.258499,15.751674,1.885427
G,208,24.283317,53.972334,10.786114
G,232,30.883466,68.430322,13.642057
R,232,37.080362,19.954638,2.38417
B,232,18.292585,6.271723,94.162932
G,96,4.535102,10.089582,2.143641
R,96,5.425262,2.948392,0.516126
B,96,2.715545,0.968008,13.851842
G,248,35.751709,79.074364,15.779922
R,248,42.878026,23.064604,2.758615
B,248,21.119018,7.231759,108.708603
B,144,6.590058,2.236962,33.7767
G,144,10.902625,24.491652,4.935618
R,144,13.214388,7.120426,0.963241
R,184,22.468426,12.101739,1.48734
G,184,18.583949,41.429585,8.300131
B,184,11.155005,3.796229,57.344256
R,176,20.420569,11.002419,1.364602
G,176,16.861095,37.655267,7.556243
B,176,10.151114,3.437515,52.185326
G,88,3.769741,8.347917,1.809292
R,88,4.500391,2.462639,0.476035
B,88,2.289712,0.817413,11.43995
R,48,1.271176,0.708849,0.260365
G,48,1.068853,2.275125,0.608402
B,48,0.653237,0.277059,3.128139
R,40,0.883911,0.504144,0.229365
G,40,0.75427,1.550574,0.487581
B,40,0.470405,0.218451,2.145824
R,72,2.950786,1.616287,0.364372
B,72,1.481626,0.545492,7.395877
G,72,2.456991,5.416112,1.236157
B,224,16.982714,5.805365,87.340051
R,224,34.349285,18.480131,2.180499
G,224,28.567453,63.403024,12.634133
R,64,2.310814,1.272757,0.360809
B,64,1.171006,0.444349,5.745755
G,64,1.922204,4.204035,0.982406
G,32,0.485774,0.969025,0.381521
B,32,0.331534,0.162677,1.385614
R,32,0.581339,0.336512,0.233044
B,200,13.310965,4.541409,68.473666
R,200,26.873901,14.477673,1.742186
G,200,22.28157,49.589425,9.9095
B,160,8.308982,2.810858,42.719655
R,160,16.680614,8.991283,1.151898
G,160,13.71284,30.689218,6.145877
B,168,9.20877,3.118339,47.288216
R,168,18.498736,9.971903,1.234776
G,168,15.246681,34.057136,6.836833
B,232,18.300547,6.256287,94.161796
G,232,30.855827,68.431718,13.644185
R,232,37.085002,19.948137,2.370341
B,128,5.074814,1.745718,26.027388
R,128,10.175985,5.511103,0.778002
G,128,8.426581,18.899885,3.853829
R,0,0.100215,0.081421,0.194099
B,0,0.094916,0.086705,0.221189
G,0,0.095575,0.087922,0.207928
B,48,0.668388,0.271285,3.140052
G,48,1.051725,2.277248,0.636272
R,48,1.266536,0.71535,0.274194
R,32,0.581339,0.336512,0.233044
B,32,0.330875,0.16146,1.398875
G,32,0.485115,0.967808,0.394782
G,248,35.741198,79.073637,15.75418
B,248,21.119677,7.232976,108.695342
R,248,42.879344,23.067038,2.732093
G,208,24.268166,53.978108,10.774201
R,208,29.238163,15.736417,1.89968
B,208,14.476753,4.945982,74.483505
R,120,8.828476,4.784847,0.708327
G,120,7.329051,16.396965,3.358944
B,120,4.426768,1.523455,22.556167
R,216,31.749444,17.080439,2.022572
B,216,15.687733,5.367118,80.768849
G,216,26.389954,58.592995,11.676361
R,8,0.125763,0.102689,0.232678
G,8,0.106631,0.116181,0.221333
B,8,0.100787,0.093933,0.26076
R,104,6.460347,3.507506,0.550477
B,104,3.233973,1.136515,16.456197
G,104,5.389885,11.994611,2.490199
B,16,0.145407,0.097984,0.469604
R,16,0.201922,0.142686,0.201832
G,16,0.196053,0.279545,0.233542
B,152,7.429617,2.507339,38.056919
G,152,12.273633,27.490675,5.519962
R,152,14.903823,8.042394,1.027253
G,240,33.26447,73.63976,14.677935
R,240,39.930933,21.489504,2.554443
B,240,19.698972,6.74455,101.336628
R,64,2.299644,1.270813,0.348328
B,64,1.182835,0.44751,5.744975
G,64,1.925526,4.1951,0.995099
R,144,13.207744,7.138296,0.937855
B,144,6.580865,2.238669,33.724436
G,144,10.898758,24.473055,4.935262
R,200,26.858864,14.457132,1.729349
G,200,22.298153,49.55977,9.893967
B,200,13.322794,4.54457,68.472886
B,168,9.209429,3.119556,47.274955
R,168,18.4784,9.956646,1.249029
G,168,15.215834,34.041152,6.825344
B,176,10.140603,3.436788,52.159584
G,176,16.853361,37.618073,7.555531
R,176,20.408081,10.998041,1.378643
B,56,0.872727,0.355154,4.320434
G,56,1.458393,3.155011,0.795256
R,56,1.737149,0.969714,0.287397
R,24,0.346305,0.223096,0.220274
B,24,0.216833,0.122012,0.849425
G,24,0.29089,0.555397,0.289018
R,112,7.580125,4.103693,0.619507
G,112,6.299061,14.092348,2.918891
B,112,3.807445,1.321095,19.37506
G,80,3.069371,6.788392,1.502897
B,80,1.851244,0.67001,9.280941
R,80,3.683299,2.007769,0.402402
B,40,0.470405,0.218451,2.145824
R,40,0.883252,0.502927,0.242626
G,40,0.733934,1.535317,0.501834
B,136,5.789161,1.974703,29.745676
G,136,9.620722,21.575831,4.373972
R,136,11.633163,6.283188,0.854274
R,72,2.950786,1.616287,0.364372
G,72,2.461631,5.409611,1.222328
B,72,1.494114,0.54987,7.381836
R,192,24.587143,13.24634,1.606322
B,192,12.190369,4.153399,62.739332
G,192,20.394793,45.391148,9.083674
B,184,11.144494,3.795502,57.318514
R,184,22.457256,12.099795,1.474859
G,184,18.576215,41.392391,8.299419
B,224,16.972203,5.804638,87.314309
R,224,34.349285,18.480131,2.180499
G,224,28.567567,63.376709,12.633209
B,96,2.728033,0.972386,13.837801
R,96,5.43311,2.959271,0.515914
G,96,4.539742,10.083081,2.129812
B,88,2.254225,0.80793,11.44229
R,88,4.493861,2.454194,0.449725
G,88,3.774381,8.341416,1.795463
B,160,8.32611,2.808735,42.691785
G,160,13.703674,30.675905,6.172611
R,160,16.685254,8.984782,1.138069
B,255,22.427086,7.671876,115.411423
R,255,45.581551,24.529212,2.884492
G,255,37.944245,83.904934,16.750531
