,,,,
,,,,
,,,,
Name,#1,#2,#3,#4
Correction,UV,UV,UV,UV
Date,2024/07/02,2024/07/02,2024/07/02,2024/07/02
Time,18:08:44,18:09:02,18:09:11,18:09:19
Sync. frequency [Hz],0.00,0.00,0.00,0.00
T_int [ms],71.78,136.63,100.00,53680.71
Averages,3,3,3,3
,,,,
,,,,
,,,,
Wavelength [nm],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)]
592,1.35389E-04,9.04878E-05,1.45965E-06,4.05576E-07
593,1.41342E-04,9.06544E-05,5.66127E-07,3.59697E-07
594,1.52575E-04,9.16847E-05,0.00000E+00,2.14379E-07
595,1.68041E-04,9.50892E-05,8.87877E-07,5.77389E-07
596,1.90923E-04,9.63192E-05,0.00000E+00,2.30746E-07
597,2.11653E-04,1.04537E-04,7.61282E-07,3.88193E-07
598,2.23140E-04,1.10627E-04,1.16500E-06,4.91275E-07
599,2.34724E-04,1.12359E-04,1.46093E-06,3.83232E-07
600,2.35930E-04,1.09295E-04,2.65873E-06,4.13793E-07
601,2.44396E-04,1.10410E-04,1.45066E-07,4.64541E-07
602,2.58031E-04,1.13018E-04,0.00000E+00,2.15654E-07
603,2.75816E-04,1.19453E-04,0.00000E+00,6.08176E-07
604,3.00763E-04,1.30716E-04,0.00000E+00,6.77955E-07
605,3.55541E-04,1.55925E-04,0.00000E+00,4.34313E-07
606,4.96468E-04,2.08221E-04,1.02002E-07,7.70319E-07
607,6.91773E-04,2.84691E-04,1.64969E-06,8.27883E-07
608,8.77456E-04,3.62419E-04,1.28943E-06,8.90253E-07
609,1.02708E-03,4.16240E-04,2.53669E-06,1.19490E-06
610,1.19674E-03,4.76535E-04,9.45215E-07,1.25655E-06
611,1.49079E-03,6.02158E-04,2.93510E-06,2.01022E-06
612,1.89244E-03,7.57932E-04,3.48197E-06,2.06831E-06
613,2.19896E-03,8.75607E-04,2.38310E-06,2.54910E-06
