,,,
,,,
,,,
Name,#1,#2,#3
Correction,UV,UV,UV
Date,2024/08/06,2024/08/06,2024/08/06
Time,00:21:02,00:21:54,00:23:09
Sync. frequency [Hz],1000.00,1000.00,1000.00
T_int [ms],70.00,135.00,100.00
Averages,3,3,3
,,,
,,,
,,,
Wavelength [nm],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)]
554,6.30274E-05,1.15375E-03,4.67383E-05
555,5.68068E-05,1.08797E-03,4.54588E-05
556,5.40122E-05,1.02723E-03,4.28096E-05
557,5.32344E-05,9.59890E-04,4.00543E-05
558,4.55341E-05,9.08717E-04,3.82259E-05
559,4.27569E-05,8.47152E-04,3.08321E-05
560,4.48441E-05,7.96041E-04,3.14712E-05
561,4.20019E-05,7.41540E-04,2.77148E-05
562,4.05065E-05,6.94736E-04,2.70288E-05
563,4.09538E-05,6.48842E-04,2.32128E-05
564,3.41306E-05,5.96072E-04,2.56360E-05
565,3.31194E-05,5.56064E-04,2.34933E-05
566,2.97847E-05,5.19473E-04,1.94389E-05
567,2.97386E-05,4.81882E-04,1.80172E-05
568,2.60759E-05,4.47654E-04,1.72943E-05
569,2.56593E-05,4.09965E-04,1.68776E-05
570,2.88736E-05,3.77944E-04,1.27840E-05
571,2.74620E-05,3.49847E-04,1.36024E-05
572,2.29251E-05,3.21870E-04,1.31509E-05
573,2.03203E-05,2.95827E-04,1.26656E-05
574,2.62025E-05,2.72490E-04,9.46678E-06
575,3.18974E-05,2.47566E-04,1.07431E-05
576,2.80888E-05,2.26758E-04,7.59330E-06
577,2.90933E-05,2.10673E-04,5.81787E-06
578,2.95208E-05,1.94211E-04,4.91871E-06
579,3.36419E-05,1.74941E-04,8.49603E-06
580,3.77280E-05,1.59224E-04,4.59672E-06
581,4.50836E-05,1.51707E-04,7.12943E-06
582,5.13825E-05,1.39218E-04,5.57809E-06
583,5.77735E-05,1.31328E-04,5.10187E-06
584,6.09527E-05,1.25507E-04,4.77415E-06
585,7.33120E-05,1.20109E-04,7.24780E-07
586,8.58012E-05,1.13020E-04,4.89395E-06
587,9.26347E-05,1.10754E-04,3.75141E-06
588,1.02236E-04,1.05292E-04,2.72427E-06
589,1.08266E-04,9.86689E-05,1.43259E-06
590,1.19780E-04,1.01650E-04,3.23954E-06
591,1.28208E-04,9.54671E-05,1.49403E-06
592,1.36286E-04,9.29368E-05,1.72195E-06
593,1.43889E-04,9.29288E-05,1.36058E-06
594,1.54760E-04,9.40286E-05,4.07426E-08
595,1.72830E-04,9.46209E-05,1.18384E-06
596,1.90539E-04,1.02827E-04,2.18986E-07
597,2.03240E-04,1.03849E-04,4.83152E-07
598,2.23347E-04,1.07287E-04,1.05557E-06
599,2.33324E-04,1.13807E-04,5.65134E-07
600,2.43574E-04,1.13851E-04,7.19173E-07
601,2.48310E-04,1.13516E-04,1.45066E-06
602,2.61960E-04,1.15279E-04,5.00161E-07
603,2.73353E-04,1.21596E-04,1.84182E-06
604,3.03773E-04,1.30580E-04,1.06676E-06
605,3.66119E-04,1.60882E-04,5.04914E-07
606,5.08144E-04,2.12244E-04,2.78187E-08
607,7.06192E-04,2.89463E-04,8.06811E-07
608,8.82738E-04,3.60793E-04,9.83342E-07
609,1.03403E-03,4.16682E-04,5.17493E-07
610,1.20352E-03,4.90648E-04,1.21721E-06
611,1.51976E-03,6.10414E-04,4.50306E-06
612,1.90692E-03,7.67252E-04,3.44671E-06
613,2.19119E-03,8.75301E-04,5.46539E-06
614,2.17557E-03,8.61651E-04,3.12366E-06
615,1.86195E-03,7.47152E-04,1.77386E-06
616,1.44728E-03,5.65344E-04,1.96319E-06
617,1.12399E-03,4.49798E-04,6.56280E-07
618,9.19741E-04,3.72132E-04,0.00000E+00
619,8.21671E-04,3.30037E-04,1.54766E-06
620,7.84794E-04,3.15682E-04,5.66125E-07
621,7.61714E-04,3.09469E-04,9.69270E-07
622,7.76522E-04,3.11192E-04,4.97018E-07
623,8.11619E-04,3.22660E-04,2.31610E-06
624,8.68127E-04,3.43348E-04,1.68000E-06
625,9.59569E-04,3.76105E-04,1.95194E-06
626,1.10792E-03,4.38561E-04,2.78868E-06
627,1.54007E-03,6.20924E-04,1.48856E-06
628,2.55925E-03,1.01019E-03,3.57241E-06
629,3.95483E-03,1.56177E-03,8.41871E-06
630,5.13922E-03,2.04206E-03,8.74895E-06
631,5.68525E-03,2.26260E-03,1.24664E-05
632,5.45530E-03,2.16128E-03,1.00815E-05
633,4.99986E-03,1.99057E-03,1.01393E-05
634,4.61930E-03,1.83084E-03,1.03277E-05
635,4.21401E-03,1.67534E-03,9.21602E-06
636,3.51366E-03,1.39274E-03,7.65346E-06
637,2.52262E-03,9.96075E-04,3.72647E-06
638,1.59430E-03,6.32695E-04,1.80232E-06
639,9.60849E-04,3.83058E-04,0.00000E+00
640,5.78760E-04,2.30898E-04,2.49313E-06
641,3.94803E-04,1.56666E-04,2.33595E-07
642,3.19772E-04,1.30443E-04,3.03720E-07
643,3.12893E-04,1.24226E-04,8.02577E-07
644,3.79768E-04,1.50189E-04,9.06490E-08
645,5.76652E-04,2.30310E-04,1.67137E-06
646,8.42948E-04,3.34808E-04,2.86986E-06
647,1.03995E-03,4.09587E-04,3.41199E-06
648,1.04641E-03,4.21576E-04,1.03216E-06
649,8.94484E-04,3.58424E-04,2.93510E-06
650,6.66841E-04,2.61387E-04,4.18729E-06
651,4.73150E-04,1.95316E-04,2.22553E-06
652,3.70217E-04,1.48633E-04,2.02274E-06
653,3.01002E-04,1.22387E-04,2.32698E-06
654,2.66622E-04,1.02601E-04,6.52384E-07
655,2.19082E-04,9.05387E-05,1.79208E-06
656,1.93070E-04,7.69819E-05,1.60040E-07
657,1.67680E-04,6.66523E-05,2.86197E-07
658,1.41481E-04,5.73011E-05,1.39944E-06
659,1.25925E-04,5.40470E-05,0.00000E+00
660,1.10392E-04,4.57029E-05,0.00000E+00
661,9.71375E-05,4.39014E-05,1.66412E-06
662,8.90216E-05,3.60390E-05,0.00000E+00
663,7.21116E-05,3.02468E-05,4.93831E-07
664,6.14411E-05,2.82122E-05,6.39194E-07
665,5.37927E-05,2.61750E-05,8.07011E-07
666,5.96512E-05,2.27592E-05,2.61032E-06
667,6.18870E-05,2.46035E-05,1.19224E-06
668,7.18093E-05,3.01658E-05,2.97336E-06
669,8.26450E-05,3.57515E-05,1.42786E-06
670,8.67249E-05,3.63986E-05,9.99850E-07
671,8.62670E-05,3.60273E-05,1.46652E-08
672,7.25997E-05,3.28466E-05,1.28493E-07
673,5.90064E-05,2.68330E-05,8.66746E-07
674,5.15699E-05,2.27322E-05,4.53699E-07
675,4.30562E-05,1.85854E-05,0.00000E+00
676,3.84153E-05,1.77443E-05,1.81692E-07
677,3.13606E-05,1.68051E-05,0.00000E+00
678,3.00165E-05,1.52893E-05,2.96786E-07
679,2.75667E-05,1.40260E-05,6.25936E-07
680,2.84974E-05,1.18804E-05,1.03627E-07
681,2.25300E-05,1.22970E-05,5.45161E-07
682,2.31872E-05,9.84997E-06,0.00000E+00
683,1.76961E-05,9.52743E-06,0.00000E+00
684,1.99118E-05,9.49764E-06,0.00000E+00
685,1.89888E-05,9.48037E-06,0.00000E+00
686,2.10385E-05,8.81821E-06,0.00000E+00
687,1.95265E-05,8.22379E-06,1.89937E-07
688,1.75499E-05,7.83936E-06,4.05759E-07
689,1.70523E-05,8.32977E-06,6.28142E-07
690,2.17612E-05,7.90088E-06,1.19557E-07
691,1.56200E-05,1.00890E-05,1.74605E-06
692,1.38830E-05,4.80187E-06,0.00000E+00
693,1.65930E-05,8.62700E-06,1.32161E-06
694,1.45701E-05,8.21530E-06,7.99404E-07
695,1.32993E-05,8.22579E-06,0.00000E+00
696,1.17483E-05,8.34489E-06,6.76214E-08
697,7.18648E-06,6.59977E-06,3.91717E-07
698,9.27436E-06,4.88605E-06,6.20648E-07
699,1.13021E-05,4.41699E-06,3.01242E-07
700,9.54111E-06,4.47184E-06,0.00000E+00
701,9.19524E-06,7.14895E-06,0.00000E+00
702,1.21258E-05,4.80340E-06,7.20972E-08
703,8.22108E-06,4.23738E-06,8.34355E-08
704,1.01674E-05,5.12667E-06,0.00000E+00
705,9.36004E-06,6.31100E-06,0.00000E+00
706,8.76255E-06,4.24162E-06,1.59243E-07
707,1.32089E-05,5.49035E-06,6.61289E-07
708,1.09166E-05,3.35672E-06,6.05809E-07
709,1.04201E-05,3.28623E-06,0.00000E+00
710,9.37769E-06,4.75773E-06,8.73993E-09
