,,,,,
,,,,,
,,,,,
Name,#1,#2,#3,#4,#4
Correction,UV,UV,UV,UV,UV
Date,2024/10/08,2024/10/08,2024/10/08,2024/10/08,2024/10/08
Time,17:09:24,17:10:17,17:10:48,17:11:10,17:11:10
Sync. frequency [Hz],0.00,0.00,0.00,0.00,0.00
T_int [ms],72.83,134.49,100.00,27885.52,27885.52
Averages,3,3,3,3,3
,,,,,
,,,,,
,,,,,
Wavelength [nm],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)]
506,4.34348E-05,7.67209E-04,1.93412E-04,1.09643E-06,1.09643E-06
507,4.91330E-05,8.56633E-04,2.03049E-04,1.01434E-06,1.01434E-06
508,5.20127E-05,9.64029E-04,2.08853E-04,1.29439E-06,1.29439E-06
509,6.14297E-05,1.08766E-03,2.15785E-04,1.33339E-06,1.33339E-06
510,6.86600E-05,1.23536E-03,2.33162E-04,1.40616E-06,1.40616E-06
511,7.46227E-05,1.38746E-03,2.40969E-04,1.42780E-06,1.42780E-06
512,8.44587E-05,1.53218E-03,2.51870E-04,1.66599E-06,1.66599E-06
513,8.97120E-05,1.66301E-03,2.56024E-04,1.78453E-06,1.78453E-06
514,9.54090E-05,1.75833E-03,2.52755E-04,1.76121E-06,1.76121E-06
515,9.66508E-05,1.84349E-03,2.48964E-04,1.87597E-06,1.87597E-06
516,1.02737E-04,1.90795E-03,2.38276E-04,2.03792E-06,2.03792E-06
517,1.02464E-04,1.96531E-03,2.28427E-04,1.96382E-06,1.96382E-06
518,1.07115E-04,2.03762E-03,2.20309E-04,2.07846E-06,2.07846E-06
519,1.11460E-04,2.10850E-03,2.11155E-04,1.98685E-06,1.98685E-06
520,1.14858E-04,2.20156E-03,2.05983E-04,2.08477E-06,2.08477E-06
521,1.15256E-04,2.28598E-03,1.95011E-04,2.27570E-06,2.27570E-06
522,1.24503E-04,2.36583E-03,1.93871E-04,2.22257E-06,2.22257E-06
523,1.29434E-04,2.44533E-03,1.90156E-04,2.23179E-06,2.23179E-06
524,1.32908E-04,2.51248E-03,1.81521E-04,2.37098E-06,2.37098E-06
525,1.31116E-04,2.58460E-03,1.79048E-04,2.43315E-06,2.43315E-06
526,1.34966E-04,2.61627E-03,1.75349E-04,2.55259E-06,2.55259E-06
527,1.39741E-04,2.65345E-03,1.76230E-04,2.24065E-06,2.24065E-06
528,1.37620E-04,2.65965E-03,1.66127E-04,2.41447E-06,2.41447E-06
529,1.36386E-04,2.65809E-03,1.60060E-04,2.31835E-06,2.31835E-06
530,1.36867E-04,2.64127E-03,1.55846E-04,2.44303E-06,2.44303E-06
531,1.35873E-04,2.60842E-03,1.48487E-04,2.18262E-06,2.18262E-06
532,1.31149E-04,2.56857E-03,1.41551E-04,2.10838E-06,2.10838E-06
533,1.30803E-04,2.54345E-03,1.42929E-04,2.14926E-06,2.14926E-06
534,1.28589E-04,2.50429E-03,1.33370E-04,2.07286E-06,2.07286E-06
535,1.29308E-04,2.47347E-03,1.26612E-04,2.10729E-06,2.10729E-06
536,1.31492E-04,2.43190E-03,1.23842E-04,1.77785E-06,1.77785E-06
537,1.21747E-04,2.38867E-03,1.21813E-04,1.99133E-06,1.99133E-06
538,1.20736E-04,2.32573E-03,1.17043E-04,2.07009E-06,2.07009E-06
539,1.18590E-04,2.26774E-03,1.10520E-04,1.96155E-06,1.96155E-06
540,1.15025E-04,2.19894E-03,1.03875E-04,1.62075E-06,1.62075E-06
541,1.08813E-04,2.12066E-03,9.95722E-05,1.77368E-06,1.77368E-06
542,1.04793E-04,2.05286E-03,9.45736E-05,1.68180E-06,1.68180E-06
543,9.81017E-05,1.96469E-03,9.01884E-05,1.56571E-06,1.56571E-06
544,1.01220E-04,1.88546E-03,8.79534E-05,1.48842E-06,1.48842E-06
545,9.41061E-05,1.80576E-03,8.22192E-05,1.32167E-06,1.32167E-06
546,8.95231E-05,1.72771E-03,7.39246E-05,1.11767E-06,1.11767E-06
547,8.70309E-05,1.63812E-03,7.20340E-05,1.24102E-06,1.24102E-06
548,8.50511E-05,1.58283E-03,7.12195E-05,1.24888E-06,1.24888E-06
549,8.11151E-05,1.51303E-03,6.57509E-05,1.13979E-06,1.13979E-06
550,7.52202E-05,1.44607E-03,5.84363E-05,1.16473E-06,1.16473E-06
551,7.37081E-05,1.37537E-03,5.48445E-05,1.04152E-06,1.04152E-06
552,7.07872E-05,1.29903E-03,5.59817E-05,7.24364E-07,7.24364E-07
553,6.73786E-05,1.23354E-03,4.63815E-05,1.04757E-06,1.04757E-06
554,6.25788E-05,1.16055E-03,4.71314E-05,9.07226E-07,9.07226E-07
555,5.64298E-05,1.09929E-03,4.19432E-05,6.76536E-07,6.76536E-07
556,5.40522E-05,1.03879E-03,3.95135E-05,9.30751E-07,9.30751E-07
557,5.14271E-05,9.71975E-04,3.82199E-05,9.07440E-07,9.07440E-07
558,5.24906E-05,9.18234E-04,3.68644E-05,6.76232E-07,6.76232E-07
559,4.33621E-05,8.56286E-04,3.35550E-05,7.36521E-07,7.36521E-07
560,4.28716E-05,7.99162E-04,3.20218E-05,4.02019E-07,4.02019E-07
561,3.85908E-05,7.48957E-04,2.86636E-05,4.55072E-07,4.55072E-07
562,3.81741E-05,6.95648E-04,2.64089E-05,4.71241E-07,4.71241E-07
563,3.66313E-05,6.48935E-04,2.48075E-05,4.69355E-07,4.69355E-07
564,3.91346E-05,6.02733E-04,2.28282E-05,5.71401E-07,5.71401E-07
565,3.07002E-05,5.63133E-04,2.27393E-05,5.59303E-07,5.59303E-07
566,2.96762E-05,5.23833E-04,1.95062E-05,2.52588E-07,2.52588E-07
567,2.95145E-05,4.81286E-04,1.77494E-05,5.06788E-07,5.06788E-07
568,2.87579E-05,4.41002E-04,1.59019E-05,3.70167E-07,3.70167E-07
569,2.30300E-05,4.11067E-04,1.47210E-05,1.98602E-07,1.98602E-07
570,2.96560E-05,3.76907E-04,1.34135E-05,2.37889E-07,2.37889E-07
571,2.67810E-05,3.50176E-04,1.37899E-05,2.38093E-07,2.38093E-07
572,2.52779E-05,3.20226E-04,1.29497E-05,2.78358E-07,2.78358E-07
573,2.57547E-05,2.97201E-04,1.00933E-05,1.44704E-07,1.44704E-07
574,2.96182E-05,2.72044E-04,9.27433E-06,2.53789E-07,2.53789E-07
575,2.45939E-05,2.47553E-04,1.04671E-05,1.72153E-07,1.72153E-07
